category,amt,gender,city,state,city_pop,job,is_fraud,hour,age,is_night_transaction,transaction_speed,distance_to_merchant
home,233.7,F,Plantersville,AL,1412,Drilling engineer,1,22,49,1,1713421.0,114.34030095905203
grocery_pos,316.18,M,Detroit,MI,673342,Retail manager,1,1,53,1,-24960722.0,111.73451843861075
health_fitness,61.46,M,Hudson,NY,17867,Travel agency manager,0,19,21,0,36872454.0,102.58240166662274
health_fitness,3.35,F,Enola,AR,969,"Physicist, medical",0,13,66,0,1793186.0,69.43922693211746
personal_care,49.22,M,Tyaskin,MD,470,Music tutor,1,22,55,1,-39627199.0,95.0463468944515
personal_care,178.64,F,O Brien,TX,178,Warden/ranger,0,20,37,0,-957632.0,95.2478824842185
shopping_pos,669.92,F,Fenelton,PA,2054,Operations geologist,1,22,56,1,33359137.0,86.96810117513539
home,62.52,M,Lake Jackson,TX,28739,Futures trader,0,14,20,0,-17395216.0,78.06347370006756
misc_net,7.84,F,Los Angeles,CA,2383912,"Journalist, newspaper",0,1,61,1,-6095126.0,110.87892863863348
kids_pets,43.78,M,Margaretville,NY,1988,Environmental health practitioner,0,17,42,0,9473856.0,46.8649486052639
kids_pets,57.99,F,De Soto,KS,5760,Chief Executive Officer,0,14,41,0,-8824151.0,18.48508277202023
grocery_pos,293.14,M,Easton,KS,1442,Air broker,1,2,38,1,-6866640.0,82.41035219708465
shopping_pos,993.07,F,Garrattsville,NY,165,Naval architect,1,23,74,1,11048468.0,52.418606759474194
food_dining,126.28,M,Arcadia,OH,1202,Curator,1,23,87,1,1207109.0,123.98005584728641
grocery_pos,303.31,F,Winnsboro,SC,14267,Solicitor,1,3,57,1,16260730.0,70.52338380203813
grocery_pos,326.93,F,Garrattsville,NY,165,Naval architect,1,22,74,1,-17385483.0,60.78268464709682
personal_care,19.15,F,Wheaton,MO,760,Production manager,0,16,34,0,13802710.0,95.45719227160106
grocery_pos,321.38,M,Sontag,MS,1196,"Librarian, academic",1,10,62,0,-21277408.0,47.65299612053178
shopping_net,10.12,F,Pembroke Township,IL,2135,"Psychotherapist, child",0,13,16,0,23165056.0,61.2724719994983
shopping_net,1092.74,M,North Brookfield,MA,4680,Field seismologist,1,23,34,1,-26055997.0,54.85233911304708
gas_transport,11.34,F,Orange Park,FL,98816,Industrial buyer,1,1,71,1,12362775.0,118.11717279932101
entertainment,110.14,F,Harwood,MD,3289,Quantity surveyor,0,6,87,1,11768015.0,106.08488899460178
misc_net,851.71,F,Westerville,NE,73,Product designer,1,22,85,1,-32426820.0,111.46909651428895
entertainment,44.53,M,Luray,MO,519,Town planner,0,17,54,0,33156865.0,99.2585807952038
health_fitness,22.44,F,Clarksville,TN,151785,Pathologist,1,16,46,0,-27392128.0,39.396183526889615
home,89.22,F,Blackville,SC,4913,Technical brewer,0,16,53,0,-6392849.0,79.25765811867879
home,20.58,M,Benton,WI,1306,Public relations officer,0,21,61,0,19891645.0,77.62263657107323
entertainment,422.35,M,Elkhart,IA,1195,Trading standards officer,1,23,46,1,22468962.0,79.97748713386827
shopping_net,1079.99,M,Mount Perry,OH,1831,Barrister's clerk,1,22,66,1,-22551994.0,95.85205137345616
kids_pets,19.7,F,Cherokee Village,AR,4726,Pharmacologist,1,22,43,1,8208317.0,45.17259569616522
shopping_pos,864.26,M,Purmela,TX,258,Web designer,1,23,76,1,-10797454.0,96.7491903486981
grocery_pos,280.61,F,Lithopolis,OH,460,"Lecturer, higher education",1,3,16,1,12025536.0,77.89763481276967
kids_pets,56.86,F,East Canaan,CT,647,Comptroller,0,12,32,0,-8263659.0,51.6292792204621
shopping_pos,769.35,F,Morrisdale,PA,3688,Dispensing optician,1,11,32,0,21768316.0,52.80349672628417
personal_care,20.41,M,East China,MI,7339,"Copywriter, advertising",1,22,58,1,-908255.0,76.69652343583724
home,282.21,M,Kissee Mills,MO,1201,"Engineer, agricultural",1,23,40,1,-15375611.0,51.88331589007549
shopping_pos,798.22,F,Umatilla,FL,11432,Private music teacher,1,0,34,1,-861181.0,92.32653212561434
gas_transport,10.72,M,Andrews,NC,5354,Retail buyer,1,0,55,1,-8728182.0,97.55925314282923
health_fitness,14.84,F,Centerview,MO,2368,Electronics engineer,0,17,30,0,-14107765.0,60.02994629012824
personal_care,41.68,F,Holcomb,KS,2691,Arboriculturist,0,13,26,0,18732851.0,41.80052339962502
shopping_net,843.58,M,Lawrence,MA,76383,Geoscientist,1,23,35,1,-9551586.0,71.35618357790925
grocery_pos,338.66,F,Beaver Falls,PA,28425,Podiatrist,1,2,20,1,29560251.0,50.138043576044325
grocery_pos,103.86,F,Blooming Grove,TX,1563,Financial adviser,0,4,42,1,-11570914.0,66.07296262958273
shopping_pos,801.29,M,Saint Francis,KY,301,"Research officer, political party",1,22,53,1,-1664373.0,89.18027840102513
personal_care,44.24,F,Oolitic,IN,1228,Counsellor,0,22,29,1,-5529433.0,51.9019314500666
shopping_net,5.96,F,Port Gibson,NY,207,Database administrator,0,1,57,1,7873071.0,80.66694388680149
shopping_net,974.87,F,Hedrick,IA,1583,Geochemist,1,22,20,1,5260518.0,103.67278976073462
personal_care,58.45,M,Greenville,OH,22930,Media planner,0,17,48,0,-13238829.0,71.90257181659976
gas_transport,40.66,M,Bolton,NC,2290,"Engineer, biomedical",0,7,74,0,-17141723.0,41.35077333721513
misc_net,745.25,M,Minnesota Lake,MN,1087,Music tutor,1,22,56,1,1003939.0,105.18825780176198
health_fitness,112.8,M,Ozawkie,KS,2661,Theatre director,0,18,71,0,18042316.0,114.81817179261125
misc_net,3.79,M,North Haverhill,NH,1966,Structural engineer,0,2,72,1,-11114912.0,95.51597133853407
home,5.15,F,Carlotta,CA,1139,"Therapist, occupational",0,15,69,0,30890326.0,81.04666858176651
health_fitness,25.12,F,Lowville,NY,8830,Theme park manager,0,16,29,0,-14598562.0,30.91265406626486
grocery_pos,348.39,M,Moulton,IA,1132,Probation officer,1,3,59,1,-20005548.0,106.05557969353984
misc_net,45.54,F,Vancouver,WA,299480,Teaching laboratory technician,0,2,35,1,-9248310.0,54.931945357138126
food_dining,67.62,M,Washington,DC,601723,"Optician, dispensing",0,13,49,0,25529012.0,122.58710345014205
misc_net,822.52,M,Falmouth,MI,1126,Furniture designer,1,22,65,1,-5758409.0,39.47376401794852
shopping_net,935.71,F,New Waverly,TX,4993,"Scientist, biomedical",1,23,71,1,2768864.0,103.09605732876297
food_dining,9.77,F,Oolitic,IN,1228,Counsellor,0,21,29,0,-8732845.0,128.21244347766725
grocery_pos,347.31,M,Saint Petersburg,FL,341043,"Engineer, land",1,2,31,1,-2486430.0,51.8341875946901
personal_care,25.09,F,Downsville,NY,1228,"Psychotherapist, child",0,18,30,0,23299112.0,105.93197804567109
grocery_net,28.88,F,Arcadia,SC,530,Animal technologist,0,11,31,0,-8578891.0,117.71578014617712
grocery_pos,288.99,F,Claypool,IN,3631,Sales promotion account executive,1,3,57,1,-20764166.0,38.66396626047347
grocery_pos,317.41,F,Albany,NY,151022,Sales executive,1,1,62,1,17013505.0,67.57920350749002
gas_transport,40.55,M,Weeping Water,NE,1517,Dealer,0,10,68,0,2709324.0,30.797161458629855
travel,4.71,F,Cranks,KY,581,"Psychologist, counselling",0,20,53,0,-23636329.0,48.70004525425825
shopping_pos,3.68,M,Milner,GA,4138,Field seismologist,0,3,51,1,33116252.0,50.36186592421197
grocery_pos,286.25,M,Saint Francis,KY,301,"Research officer, political party",1,22,53,1,-6759559.0,30.788016922576922
misc_pos,112.25,M,Newark Valley,NY,4354,Further education lecturer,0,15,26,0,841657.0,61.15335428698644
grocery_net,16.21,F,Gregory,AR,37,"Lecturer, further education",1,1,62,1,-22170652.0,26.466383264753514
home,22.85,F,Brunson,SC,1725,Social researcher,0,15,45,0,-6515307.0,98.82910727529612
home,114.58,F,Creola,OH,321,"Copywriter, advertising",0,13,41,0,28590681.0,15.789702538279512
grocery_pos,326.23,F,Lockhart,TX,17081,Air traffic controller,1,9,66,0,13465406.0,98.0891843620103
shopping_net,20.45,M,Corriganville,MD,626,Energy engineer,0,7,59,0,-10204224.0,11.140211754654132
grocery_pos,327.93,F,Daniels,WV,3994,"Biochemist, clinical",1,2,83,1,6547312.0,89.74109118099223
grocery_pos,63.13,M,Detroit,MI,673342,Health visitor,0,6,36,1,-7932091.0,71.06366229695153
misc_net,810.12,F,Greenwood,IN,78968,Financial adviser,1,22,52,1,4634351.0,106.6001294161513
kids_pets,19.13,F,Morrisdale,PA,3688,Dispensing optician,1,22,32,1,7259658.0,54.22163756211683
grocery_pos,311.02,M,West Green,GA,782,Audiological scientist,1,2,38,1,-5428388.0,48.87653995288002
misc_pos,2.68,M,Lonsdale,MN,5211,Chief Strategy Officer,0,15,33,0,-22246414.0,124.23626918966876
travel,7.25,F,Oolitic,IN,1228,Counsellor,0,13,29,0,26950607.0,45.569142205488525
entertainment,505.19,F,Walnut Ridge,AR,7155,"Engineer, control and instrumentation",1,2,43,1,-9458092.0,41.47522456128082
travel,456.24,M,Rock Glen,PA,143,Health and safety adviser,0,12,38,0,-30807879.0,100.02719416561054
home,42.35,F,Georgetown,MN,346,"Research officer, trade union",0,23,43,1,43153152.0,115.17557467633274
personal_care,7.14,M,Lohrville,IA,695,Administrator,0,19,65,0,-20316914.0,73.07505134616002
shopping_net,880.77,M,Saint Francis,KY,301,"Research officer, political party",1,22,53,1,3638239.0,77.11799808612453
gas_transport,47.62,F,Duncan,MS,466,Trading standards officer,0,4,65,1,12896777.0,126.43623170470754
food_dining,6.63,F,Utica,MO,271,Land/geomatics surveyor,0,21,48,0,-39769487.0,51.32627414464279
entertainment,53.12,M,Cass,WV,365,Special effects artist,0,19,50,0,27984704.0,87.02026745610624
misc_net,694.82,M,Emmons,MN,744,Communications engineer,1,18,52,0,-2250987.0,61.728657696490046
misc_pos,4.37,F,Sheffield,MA,2121,Radio producer,0,16,46,0,-21692109.0,65.99563778072815
shopping_pos,732.81,M,Apison,TN,3730,Occupational therapist,1,23,29,1,27155450.0,63.729696644444225
entertainment,87.94,M,Du Pont,GA,419,Advertising account executive,0,23,29,1,-14600876.0,102.25972419132309
entertainment,14.33,M,Paint Rock,AL,653,Paediatric nurse,0,16,54,0,-4779090.0,85.36245151173507
personal_care,124.12,F,Kansas City,MO,545147,Counsellor,0,22,32,1,29830395.0,92.85228361871287
grocery_pos,284.65,M,Damascus,VA,3085,Land/geomatics surveyor,1,1,29,1,873950.0,30.776685684563386
shopping_pos,1133.39,M,Tekoa,WA,895,Clothing/textile technologist,1,23,21,1,-25235752.0,76.15786146832895
grocery_pos,343.27,F,Campbell,NE,493,"Surveyor, minerals",1,22,79,1,-7346755.0,83.42478204530195
gas_transport,10.12,M,Sauk Rapids,MN,16163,Hydrographic surveyor,1,5,33,1,6679132.0,55.04757840660936
food_dining,118.22,F,Riverview,MI,15623,Writer,1,2,26,1,24178709.0,83.19708080316741
grocery_pos,324.8,M,Avera,GA,741,Claims inspector/assessor,1,0,34,1,-440007.0,64.24285522611572
misc_net,821.36,M,Premier,WV,337,Advice worker,1,22,33,1,-10112904.0,129.42008877521508
grocery_pos,68.92,F,Providence,RI,203571,"Nurse, children's",0,12,24,0,12490727.0,81.15433987789993
shopping_pos,79.67,M,Allentown,NY,239,Radio producer,0,1,64,1,-20257161.0,87.2632806715904
grocery_pos,52.53,M,Northport,NY,21902,Tour manager,0,3,44,1,7092449.0,16.32694892170313
shopping_pos,836.86,M,Atlantic,VA,741,"Geologist, engineering",1,22,33,1,-1661147.0,72.24157809251672
shopping_pos,2.51,M,Washington,DC,601723,"Optician, dispensing",0,11,49,0,-24574670.0,82.09522775821632
misc_net,822.15,F,Mc Clellandtown,PA,2379,"Sales professional, IT",1,2,49,1,9210487.0,84.2345494246231
health_fitness,92.14,M,Montgomery,AL,214703,"Chemist, analytical",0,23,25,1,-11500534.0,50.09856059967287
health_fitness,8.51,F,Keisterville,PA,184,Systems developer,0,20,74,0,23576016.0,122.64166886394297
entertainment,19.08,F,Mount Morris,NY,4895,Acupuncturist,0,7,61,0,-13958628.0,29.182718723803674
grocery_pos,110.64,F,Oakford,IL,530,Transport planner,0,8,52,0,17284568.0,104.36123060825702
shopping_net,919.36,F,Topeka,KS,163415,Secondary school teacher,1,23,15,1,8433807.0,72.06663033090788
grocery_pos,287.5,F,Montrose,NY,3487,Race relations officer,1,2,60,1,3726210.0,106.27515420544353
personal_care,65.97,F,Falls City,TX,2435,"Engineer, mining",0,23,53,1,2667644.0,25.29873636839296
misc_net,865.88,F,Eugene,OR,191096,"Scientist, physiological",1,23,56,1,-34733934.0,108.88981589631682
shopping_net,1073.84,F,Lowell,OR,1420,Systems analyst,1,23,54,1,-6307269.0,104.95170212385239
misc_net,467.79,F,Hawley,MN,4508,Naval architect,0,6,71,1,-2652957.0,59.19232679625683
grocery_pos,114.11,F,Bynum,TX,522,Commercial/residential surveyor,0,4,74,1,2845475.0,104.08276124452766
kids_pets,21.19,F,Randolph,OH,51,Mechanical engineer,0,23,59,1,37912171.0,92.88097259559473
grocery_pos,326.86,F,Mendon,UT,2078,"Scientist, audiological",1,10,57,0,-5060245.0,44.70436608773272
entertainment,463.41,F,Nokomis,IL,3458,Building surveyor,1,1,34,1,-3054704.0,101.75132818959233
grocery_pos,297.08,M,Boulder,MT,1939,Patent attorney,1,23,53,1,-10634055.0,36.700690987603714
grocery_pos,285.92,M,Du Pont,GA,419,Advertising account executive,1,2,29,1,7957989.0,40.76877276740423
misc_pos,4.95,F,Gibsonville,NC,12486,Arboriculturist,0,11,86,0,-7397881.0,47.78522630164567
home,45.31,F,Kingsport,TN,87124,Warden/ranger,0,22,33,1,3325105.0,92.40733038806955
shopping_net,925.27,F,Fordoche,LA,1178,Community education officer,1,23,69,1,18838823.0,34.97188950048645
shopping_pos,781.95,F,Comfort,WV,630,Fine artist,1,23,60,1,-16503210.0,74.68333445857223
misc_pos,6.96,M,Winfield,WV,5512,Exhibition designer,0,13,40,0,-16019548.0,89.63386643823347
kids_pets,48.12,F,Plantersville,AL,1412,Drilling engineer,0,12,49,0,24273428.0,54.91761840734588
misc_net,873.51,M,Sacramento,CA,757530,Soil scientist,1,22,53,1,1849187.0,65.8023783495204
kids_pets,71.28,F,Reynolds,ND,733,Visual merchandiser,0,18,25,0,-19625410.0,58.719297072482746
shopping_net,970.33,M,Madisonville,LA,10150,Commercial horticulturist,1,20,76,0,-16841127.0,109.08615693006253
kids_pets,112.43,M,Oriskany Falls,NY,1970,"Programmer, multimedia",0,12,71,0,26841079.0,77.91663108648339
gas_transport,89.97,F,Blooming Grove,TX,1563,Financial adviser,0,5,42,1,1702189.0,103.66316920754167
misc_pos,37.65,M,Kissee Mills,MO,1201,"Engineer, agricultural",0,7,40,0,13486601.0,32.59876185074595
gas_transport,61.89,F,Indianapolis,IN,910148,Firefighter,0,11,44,0,-42408767.0,60.41438223793055
kids_pets,22.21,F,Bauxite,AR,4074,"Scientist, audiological",1,16,44,0,18161907.0,107.98646357525504
misc_pos,1.52,F,Hudson,KS,215,Probation officer,0,0,51,1,-4548545.0,111.11769910496818
shopping_net,6.62,F,Indianapolis,IN,910148,Firefighter,0,16,44,0,7659365.0,47.966231532915664
misc_net,52.85,M,Chester Heights,PA,348,Management consultant,0,9,75,0,753763.0,82.26880121729995
shopping_net,957.11,M,De Lancey,NY,782,Chartered accountant,1,22,19,1,-11186982.0,73.66876314215489
shopping_net,968.99,F,Morven,NC,2801,Regulatory affairs officer,1,22,59,1,3371955.0,66.92556222151
grocery_pos,314.3,F,Dubre,KY,341,Insurance risk surveyor,1,2,87,1,7010575.0,69.82505964902461
kids_pets,19.41,F,Avoca,IA,2036,Engineering geologist,1,23,48,1,13383080.0,89.46360426659702
shopping_pos,1148.15,F,Manquin,VA,976,"Engineer, automotive",1,23,21,1,-36376749.0,92.14015790771427
food_dining,31.82,M,Wichita,KS,409656,Heritage manager,0,20,34,0,23403527.0,66.09800538145532
personal_care,2.14,M,Cardwell,MO,1120,Television floor manager,0,20,63,0,3718460.0,95.3918841215561
misc_net,753.33,F,Oakford,IL,530,Transport planner,1,23,52,1,9771666.0,52.618817452732394
home,46.25,F,Fullerton,NE,1749,"Surveyor, mining",0,15,47,0,1786053.0,79.8344954155184
grocery_pos,23.03,M,Great Mills,MD,5927,Art therapist,0,2,47,1,-13437445.0,62.829703624103374
health_fitness,15.41,M,Clarinda,IA,7297,IT trainer,0,23,29,1,-9946912.0,138.11451224463738
travel,1.33,M,Oconto Falls,WI,5548,Mining engineer,0,19,44,0,13635598.0,66.92879865651466
food_dining,114.36,F,San Diego,CA,1241364,"Pharmacist, hospital",1,23,60,1,15393994.0,82.92004768720736
health_fitness,50.42,M,Saint Petersburg,FL,341043,"Engineer, land",0,13,31,0,-38397417.0,62.334476171103766
shopping_net,1073.89,F,Red River,NM,606,"Surveyor, land/geomatics",1,3,31,1,30116703.0,74.58125865075603
food_dining,160.82,F,North Washington,PA,139,Patent attorney,0,23,66,1,-11418245.0,107.98929012212561
home,68.39,M,Cass,WV,365,Special effects artist,0,14,50,0,-6686410.0,83.04687100558944
shopping_net,884.8,F,Brownville,NY,1271,"Producer, radio",0,9,61,0,-4163669.0,99.11656633317953
home,104.47,F,Slayden,TN,70,Prison officer,0,12,64,0,28520338.0,50.694669635749825
grocery_pos,282.52,M,Stillwater,OK,55345,Cabin crew,1,11,72,0,-24281761.0,114.94128033496345
kids_pets,52.89,F,Owensville,MO,6703,Naval architect,0,12,22,0,6311246.0,89.77240496311724
shopping_pos,740.2,F,Galatia,IL,1943,"Restaurant manager, fast food",1,3,48,1,-22842473.0,61.742128053908836
misc_pos,837.95,F,Michigan,ND,454,"Producer, television/film/video",1,2,47,1,4489869.0,7.214497765823287
shopping_net,938.82,F,Stephensport,KY,344,Chartered public finance accountant,1,23,53,1,-4848994.0,61.82810392499281
gas_transport,11.14,M,Downey,CA,111772,Fine artist,1,3,57,1,10298202.0,79.23649233260522
misc_net,197.24,M,Morrisdale,PA,3688,Advice worker,0,5,47,1,14865087.0,42.031500428077486
misc_pos,62.84,F,Centerview,MO,2368,Electronics engineer,0,22,30,1,2912109.0,23.132068937355648
shopping_net,1081.35,M,Cochranton,PA,5507,Retail merchandiser,1,19,46,0,-28951733.0,112.93138051961921
shopping_net,857.84,M,Westport,KY,564,Pensions consultant,1,22,24,1,11760872.0,74.54298755041786
food_dining,70.25,F,Sebring,FL,50835,Environmental consultant,0,17,34,0,19335810.0,111.79683318640629
misc_net,120.42,M,New Boston,IL,1504,Manufacturing engineer,0,10,26,0,-28625148.0,62.02472510896657
gas_transport,53.95,F,West Sayville,NY,4056,Film/video editor,0,10,30,0,33697718.0,50.54409842828966
shopping_net,54.33,F,Battle Creek,IA,1075,"Teacher, early years/pre",0,19,23,0,3141199.0,36.612263169689975
misc_pos,2.4,F,Brandon,FL,79613,Environmental consultant,0,20,41,0,-10278389.0,76.27197422719175
food_dining,23.48,F,Llano,NM,247,Architectural technologist,0,13,58,0,-3221876.0,58.24702556356404
misc_pos,9.94,M,Boonton,NJ,15269,"Psychologist, sport and exercise",1,23,26,1,-2469965.0,34.967147098247665
shopping_pos,871.92,M,Mountain City,TN,13021,Tree surgeon,1,22,18,1,-16244354.0,71.23680334081932
shopping_pos,147.02,M,Elk Rapids,MI,2223,Chief Financial Officer,0,4,34,1,30259823.0,36.96164183326133
entertainment,480.98,M,Rock Glen,PA,143,Health and safety adviser,1,22,38,1,-18943356.0,103.06206930616797
home,110.86,F,Newhall,CA,34882,Health physicist,0,23,49,1,18581346.0,65.01782813476346
health_fitness,18.05,F,Clayton,OK,1760,Occupational psychologist,1,22,48,1,-8040028.0,17.74501647521266
health_fitness,26.47,F,Ogdensburg,NJ,2456,Senior tax professional/tax inspector,1,22,26,1,-17972165.0,47.892603485364226
shopping_net,1177.64,M,Clune,PA,168,Race relations officer,1,22,41,1,19527735.0,88.63801814641788
shopping_pos,766.4,M,Margaretville,NY,1988,Environmental health practitioner,1,22,42,1,14602058.0,109.16151836917835
gas_transport,71.29,M,Andrews,IN,2304,Retail banker,0,8,64,0,-13789629.0,64.40746420180969
shopping_pos,8.35,F,Dallas,TX,1263321,"Designer, ceramics/pottery",0,17,45,0,-25024522.0,113.04437079991315
entertainment,35.24,F,Winger,MN,516,Applications developer,0,15,54,0,5436041.0,74.04923381025424
misc_net,740.52,F,Tulsa,OK,413574,Bookseller,1,22,52,1,23266517.0,40.95948668708838
shopping_pos,7.76,F,Washington Court House,OH,22305,Television floor manager,0,7,81,0,-21997968.0,59.95347226845158
shopping_pos,704.6,F,Milford,OH,31394,Hospital doctor,1,23,23,1,-12212661.0,74.45240076307788
shopping_net,870.91,M,Mesa,AZ,478404,Landscape architect,1,22,79,1,4664866.0,116.59697143338896
shopping_net,917.43,M,Fenelton,PA,2054,Communications engineer,1,22,43,1,37927546.0,85.76012116346489
shopping_net,968.46,F,West Frankfort,IL,12626,Trading standards officer,1,22,24,1,-40694855.0,34.06575262850862
shopping_net,6.57,F,Center Tuftonboro,NH,1368,"Optician, dispensing",0,22,48,1,13823738.0,16.84310596400951
shopping_net,1082.52,F,Sturgis,MS,1923,Medical physicist,1,22,60,1,18492528.0,89.64305926663805
kids_pets,21.48,F,Hannawa Falls,NY,69,Chief Executive Officer,1,22,29,1,-22035081.0,61.33833629914397
shopping_pos,768.28,M,Nelson,NE,732,Television/film/video producer,1,22,63,1,10714872.0,55.123371918428525
health_fitness,19.8,F,Bigelow,MN,399,Economist,1,23,43,1,-21855807.0,85.49938856420091
shopping_net,1112.15,M,Dallas,TX,1263321,"Designer, interior/spatial",1,23,67,1,23155890.0,84.42533489136517
grocery_pos,151.95,F,Smith River,CA,1930,Web designer,0,3,37,1,5371766.0,59.13280083047867
misc_pos,3.66,F,Basye,VA,863,"Engineer, mining",0,18,47,0,53684.0,105.69423169372463
shopping_pos,815.65,F,Minneapolis,MN,1022298,Analytical chemist,1,22,52,1,10035408.0,78.9603593721461
grocery_pos,294.66,M,Shippingport,PA,198,Secretary/administrator,1,1,41,1,-26080885.0,80.23115372641286
entertainment,444.32,M,Williamsburg,MO,710,Glass blower/designer,1,22,49,1,5603586.0,49.256780711299285
gas_transport,23.65,M,Mount Hope,AL,1312,"Librarian, academic",1,2,65,1,25158391.0,120.06824208941944
